GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
features,io.github.jonasrutishauser.liberty.features,FeaturesJsonGenerator,51,0,0,0,9,0,3,0,3,0
features,io.github.jonasrutishauser.liberty.features,FeaturesJsonGenerator.new PrepareFeatureUtil() {...},41,0,0,0,17,0,10,0,10,0
features,io.github.jonasrutishauser.liberty.features,FeaturesJsonGenerator.new SimpleFileVisitor() {...},41,0,2,0,6,0,3,0,2,0
